TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/en/retokenized/cu31924087948174_0022.xmi
# hipe2022:license = CC-BY
# hipe2022:language = en
# hipe2022:document_type = commentary
# hipe2022:document_id = cu31924087948174_0022
# hipe2022:date = 1881-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.3
# ajmc:title = Sophocles
# ajmc:publication_place = Oxford
# ajmc:publication_date = 1881
# ajmc:page = 22
# ajmc:author = Campbell, Lewis
1449	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
τῆσ	O	_	_	_	_	_	_	_
φιλτάτησ	O	_	_	_	_	_	_	_
OT	O	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_
corrected	O	_	_	_	_	_	_	_
by	O	_	_	_	_	_	_	_
pr	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
m	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_
L	B-pers	_	_	_	_	_	_	NoSpaceAfter
,	I-pers	_	_	_	_	_	_	_
Edd	B-work	_	_	_	_	_	_	NoSpaceAfter
.	I-work	_	_	_	_	_	_	_
“	O	_	_	_	_	_	_	NoSpaceAfter
τε	O	_	_	_	_	_	_	_
φιλτάτων	O	_	_	_	_	_	_	_
LA	O	_	_	_	_	_	_	NoSpaceAfter
”	O	_	_	_	_	_	_	_
Jahnl	O	_	_	_	_	_	_	EndOfSentence|Partial-0:4
1454	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
ἂρ	O	_	_	_	_	_	_	NoSpaceAfter
’	O	_	_	_	_	_	_	_
O	O	_	_	_	_	_	_	_
Pal	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
ἄρ᾽	O	_	_	_	_	_	_	_
Edd	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
ἄρ᾽	O	_	_	_	_	_	_	_
A	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	EndOfSentence
1456	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
εἰωθότωσ	O	_	_	_	_	_	_	_
OL	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
εἰωθότοσ	O	_	_	_	_	_	_	_
A	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	EndOfSentence
1460	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
αὐτῶν	O	_	_	_	_	_	_	_
OL	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
αὐτὸν	O	_	_	_	_	_	_	_
A	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	EndOfSentence
Vat	B-work	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
ac	B-work	_	_	_	_	_	_	NoSpaceAfter
.	I-work	_	_	_	_	_	_	_
(	O	_	_	_	_	_	_	NoSpaceAfter
1467	B-scope	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
εἰ	O	_	_	_	_	_	_	_
δ᾽	O	_	_	_	_	_	_	_
ἔπεστι	O	_	_	_	_	_	_	_
O	O	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_
Edd	B-work	_	_	_	_	_	_	NoSpaceAfter
.	I-work	_	_	_	_	_	_	_
A	O	_	_	_	_	_	_	_
not	O	_	_	_	_	_	_	_
known	O	_	_	_	_	_	_	NoSpaceAfter
)	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	EndOfSentence
1469	O	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_
τοι	O	_	_	_	_	_	_	_
